"Omschrijving","Vakcode","Startweek (ISO)","Startdag","Startdatum","Starttijd","Einddag","Einddatum","Eindtijd","Duur","Type","Docent(en)","Locatie(s)","Faculteit","Grootte","Opmerking 1","Opmerking 2","Concept","Deze activiteit vindt op locatie plaats","Deze activiteit vindt online plaats"
"Statistical Methods (PR)","X_401020","44","wo","2022-11-02","13:30","wo","2022-11-02","15:15","1:45","Practicum","","NU-5B21 (46Comp/46DT)","Faculteit der Betawetenschappen","56","Computer class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","44","wo","2022-11-02","15:30","wo","2022-11-02","19:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-5A91 (34Comp/34DT), NU-5B21 (46Comp/46DT), NU-6B15 (38Comp/38DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","44","do","2022-11-03","09:00","do","2022-11-03","10:45","1:45","Practicum","","NU-6B37 (48Comp)","Faculteit der Betawetenschappen","30","Group 5","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","44","do","2022-11-03","11:00","do","2022-11-03","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","44","do","2022-11-03","13:30","do","2022-11-03","15:15","1:45","Practicum","","HG-13A37 (24Comp), NU-5B51 Collaborative (20)","Faculteit der Betawetenschappen","30","Group 6","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","44","do","2022-11-03","15:30","do","2022-11-03","17:15","1:45","Hoorcollege","Dobler, D.","Theater1 NU-00C07(314/83T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Statistical Methods (PR)","X_401020","44","vr","2022-11-04","11:00","vr","2022-11-04","12:45","1:45","Practicum","","WN-C629(40/20T)","Faculteit der Betawetenschappen","56","Computer class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","44","vr","2022-11-04","15:30","vr","2022-11-04","17:15","1:45","Practicum","","NU-6B15 (38Comp/38DT), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 9","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","45","ma","2022-11-07","13:30","ma","2022-11-07","17:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-6B20 (26Comp/24DT), NU-6B37 (48Comp), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","45","di","2022-11-08","09:00","di","2022-11-08","10:45","1:45","Practicum","","HG-15A16(39/19T), NU-3A65 (40/20T), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 1","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","45","di","2022-11-08","11:00","di","2022-11-08","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","45","di","2022-11-08","13:30","di","2022-11-08","15:15","1:45","Practicum","","HG-00B08 (42Comp)","Faculteit der Betawetenschappen","30","Group 2","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","45","di","2022-11-08","17:30","di","2022-11-08","19:15","1:45","Practicum","","NU-3A57 (54/27T), NU-3A65 (40/20T)","Faculteit der Betawetenschappen","30","Group 3","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","45","wo","2022-11-09","09:00","wo","2022-11-09","10:45","1:45","Practicum","","OZW-6B03(40/20T), OZW-6B04(43/21T)","Faculteit der Betawetenschappen","30","Group 4","","Nee","Ja","Nee"
